INFO:root:База данных инициализирована
INFO:root:API сервер запущен на порту 8080
INFO:root:Бот запущен
INFO:aiogram.dispatcher:Start polling
INFO:aiogram.dispatcher:Run polling for bot @four_zero_bot id=8451254918 - '0000'
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:05:11 +0000] "GET /cgi-bin/api.values.get?request=68%3Aphone_model HTTP/1.1" 404 173 "http://5.129.195.48/cgi-bin/api.values.get?request=68%3Aphone_model" "Mozilla/5.0 (compatible; Grandstream-Scanner/1.0 - OpenSSL Bundled)"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:05:12 +0000] "GET /cgi-bin/api.values.get?request=68%3Aphone_model HTTP/1.1" 404 173 "http://5.129.195.48/cgi-bin/api.values.get?request=68%3Aphone_model" "Mozilla/5.0 (compatible; Grandstream-Scanner/1.0 - OpenSSL Bundled)"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:05:13 +0000] "GET /cgi-bin/api.values.get?request=68%3Aphone_model HTTP/1.1" 404 173 "http://5.129.195.48/cgi-bin/api.values.get?request=68%3Aphone_model" "Mozilla/5.0 (compatible; Grandstream-Scanner/1.0 - OpenSSL Bundled)"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:20:06:06 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:07:35 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:07:35 +0000] "GET /images/product-1.jpg HTTP/1.1" 404 173 "https://englishcours.ru/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:07:35 +0000] "GET /images/product-2.jpg HTTP/1.1" 404 173 "https://englishcours.ru/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:07:35 +0000] "GET /images/product-3.jpg HTTP/1.1" 404 173 "https://englishcours.ru/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:07:35 +0000] "GET /images/product-4.jpg HTTP/1.1" 404 173 "https://englishcours.ru/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:07:35 +0000] "GET /images/product-5.jpg HTTP/1.1" 404 173 "https://englishcours.ru/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:07:35 +0000] "GET /images/product-6.jpg HTTP/1.1" 404 173 "https://englishcours.ru/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:07:35 +0000] "GET /favicon.ico HTTP/1.1" 404 173 "https://englishcours.ru/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:20:07:52 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:20:10:04 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:20:12:32 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:45.194.92.25 [01/Mar/2026:20:13:57 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:14:50 +0000] "GET / HTTP/1.1" 200 239 "-" "curl/8.18.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:20:15:06 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.212 [01/Mar/2026:20:15:11 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:16:17 +0000] "GET /.git/config HTTP/1.1" 404 173 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:20:17:27 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:20:22:32 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:20:22:46 +0000] "GET / HTTP/1.1" 200 239 "http://5.129.195.48:80" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:20:24:52 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:20:28:04 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:20:30:14 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:20:33:12 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
